,name,name:fa,name:en,brand,brand:fa,brand:en,atm,building:levels,geometry,brand:wikidata,area_m2,lon,lat
14,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,,,POINT (50.0193505 36.266403700000005),Q4855942,0.0,50.0193505,36.266403700000005
15,بانک صادرات,,Bank Saderat Iran,بانک صادرات,,Bank Saderat Iran,,,POINT (50.0188852 36.26647969999999),Q2882608,0.0,50.0188852,36.26647969999999
16,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,yes,,POINT (50.0200771 36.2666363),Q4855944,0.0,50.0200771,36.2666363
17,بانک سامان,,Saman Bank,بانک سامان,,Saman Bank,yes,,POINT (50.0096557 36.2800427),Q4117676,0.0,50.0096557,36.2800427
18,بانک ملی,بانک ملی,Bank Melli Iran,بانک ملی,بانک ملی,Bank Melli Iran,,,POINT (49.9920089 36.2712345),Q806640,0.0,49.9920089,36.2712345
19,بانک گردشگری,,Gardeshgari,,,,yes,,POINT (50.008093 36.2822285),,0.0,50.008093,36.2822285
20,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,,,POINT (50.0098207 36.29762759999999),Q4855942,0.0,50.0098207,36.29762759999999
21,موسسه اعتباری ثامن,,Samen Bank,,,,,,POINT (50.0097636 36.2806284),,0.0,50.0097636,36.2806284
22,بانک تجارت,,Tejarat Bank,بانک تجارت,,,yes,,POINT (50.0122286 36.2779331),Q7695198,0.0,50.0122286,36.2779331
23,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,yes,,POINT (50.0119453 36.2775209),Q4855942,0.0,50.0119453,36.2775209
24,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,,,POINT (49.9981612 36.2750811),Q806640,0.0,49.9981612,36.2750811
25,بانک کشاورزی,,Bank Keshavarzi Iran,بانک کشاورزی,,Bank Keshavarzi Iran,,,POINT (49.9974156 36.2721726),Q6395007,0.0,49.9974156,36.2721726
26,بانک صادرات,بانک صادرات,Bank Saderat Iran,بانک صادرات,بانک صادرات,Bank Saderat Iran,,,POINT (50.0141564 36.259915799999995),Q2882608,0.0,50.0141564,36.259915799999995
27,بانک صادرات,بانک صادرات,Bank Saderat Iran,بانک صادرات,بانک صادرات,Bank Saderat Iran,yes,,POINT (50.0055085 36.27128439999999),Q2882608,0.0,50.0055085,36.27128439999999
28,بانک کشاورزی,,Bank Keshavarzi Iran,بانک کشاورزی,,Bank Keshavarzi Iran,yes,,POINT (50.0067944 36.25909419999999),Q6395007,0.0,50.0067944,36.25909419999999
29,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,yes,,POINT (50.0057732 36.259406999999996),Q2882624,0.0,50.0057732,36.259406999999996
30,بانک رفاه,,Refah Bank,بانک رفاه,,Refah Bank,yes,,POINT (50.0053627 36.2594438),Q7307083,0.0,50.0053627,36.2594438
31,بانک شهر,بانک شهر,Shahr Bank,بانک شهر,بانک شهر,Shahr Bank,,,POINT (50.0148479 36.2919228),Q5941033,0.0,50.0148479,36.2919228
32,بانک سپه,,Sepah Bank,,,,,,POINT (50.01975310000001 36.28040980000001),,0.0,50.01975310000001,36.28040980000001
33,بانک صنعت و معدن,,Bank of Industry and Mine,,,,yes,,POINT (50.020861000000004 36.282184900000004),,0.0,50.020861000000004,36.282184900000004
34,بانک قوامین,بانک قوامین,Ghavamin Bank,بانک قوامین,بانک قوامین,Ghavamin Bank,,,POINT (50.017739 36.29531540000001),Q10860253,0.0,50.017739,36.29531540000001
35,بانک مهر اقتصاد,,Mehr Eqtesad Bank,بانک مهر اقتصاد,,,yes,,POINT (50.0036922 36.2595774),Q5942921,0.0,50.0036922,36.2595774
36,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,,,POINT (49.9971289 36.26012449999999),Q806640,0.0,49.9971289,36.26012449999999
37,بانک تجارت,,Tejarat Bank,بانک تجارت,,,yes,,POINT (50.0036076 36.26145249999999),Q7695198,0.0,50.0036076,36.26145249999999
38,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,yes,,POINT (50.0034878 36.2623536),Q806640,0.0,50.0034878,36.2623536
39,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,yes,,POINT (50.0034703 36.26246209999999),Q4855944,0.0,50.0034703,36.26246209999999
40,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,yes,,POINT (50.0031821 36.2732704),Q806640,0.0,50.0031821,36.2732704
41,بانک صادرات,,Bank Saderat Iran,بانک صادرات,,Bank Saderat Iran,,,POINT (50.00675770000001 36.26892159999999),Q2882608,0.0,50.00675770000001,36.26892159999999
42,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,yes,,POINT (50.0101429 36.268096),Q2882624,0.0,50.0101429,36.268096
43,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,yes,,POINT (50.0235935 36.3031066),Q4855942,0.0,50.0235935,36.3031066
44,بانک تجارت,,Tejarat Bank,,,,,,POINT (49.9897279 36.26053639999999),,0.0,49.9897279,36.26053639999999
45,بانک صادرات,بانک صادرات,Bank Saderat Iran,بانک صادرات,بانک صادرات,Bank Saderat Iran,,,POINT (50.0091581 36.2966626),Q2882608,0.0,50.0091581,36.2966626
46,بانک تجارت,,Tejarat Bank,,,,,,POINT (50.0092112 36.2972146),,0.0,50.0092112,36.2972146
47,بانک انصار,بانک انصار,Ansar Bank,بانک انصار,بانک انصار,Ansar Bank,,,POINT (50.0075344 36.27724249999999),Q5862675,0.0,50.0075344,36.27724249999999
48,بانک دی,بانک دی,Bank Day,بانک دی,بانک دی,Bank Day,,,POINT (50.0081797 36.2769914),Q5942230,0.0,50.0081797,36.2769914
49,بانک صادرات,,Bank Saderat Iran,بانک صادرات,,Bank Saderat Iran,,,POINT (50.0087153 36.274011399999985),Q2882608,0.0,50.0087153,36.274011399999985
50,موسسه اعتباری کوثر,,Kosar Financial Institute,,,,,,POINT (50.0087956 36.2739317),,0.0,50.0087956,36.2739317
51,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,,,POINT (50.0080103 36.26884539999999),Q4855944,0.0,50.0080103,36.26884539999999
52,پست بانک,,Post Bank of Iran,پست بانک,,Post Bank of Iran,,,POINT (50.0152415 36.2672112),Q7233625,0.0,50.0152415,36.2672112
53,بانک تجارت,,Tejarat Bank,بانک تجارت,,,,,POINT (50.0109812 36.267991900000006),Q7695198,0.0,50.0109812,36.267991900000006
54,بانک کشاورزی,,Bank Keshavarzi Iran,بانک کشاورزی,,Bank Keshavarzi Iran,,,POINT (50.0118891 36.2679563),Q6395007,0.0,50.0118891,36.2679563
55,بانک انصار,,Ansar Bank,بانک انصار,,,,,POINT (50.0119651 36.2679441),Q5862675,0.0,50.0119651,36.2679441
56,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,,,POINT (50.01052790000001 36.2680794),Q806640,0.0,50.01052790000001,36.2680794
57,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,,,POINT (50.0148936 36.267247999999995),Q806640,0.0,50.0148936,36.267247999999995
58,بانک صادرات,,Bank Saderat Iran,بانک صادرات,,Bank Saderat Iran,yes,,POINT (50.0267644 36.3061461),Q2882608,0.0,50.0267644,36.3061461
59,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,,,POINT (50.0116719 36.31927300000001),Q4855944,0.0,50.0116719,36.31927300000001
60,بانک توسعه تعاون,,TT Bank,بانک توسعه تعاون,,,,,POINT (50.0104297 36.2853155),Q5684450,0.0,50.0104297,36.2853155
61,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,,,POINT (50.0037836 36.2782156),Q2882624,0.0,50.0037836,36.2782156
62,بانک حکمت ایرانیان,,Hekmat Iranian Bank,,,,,,POINT (49.9985767 36.2773292),,0.0,49.9985767,36.2773292
63,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,,,POINT (49.9985359 36.27712459999999),Q4855944,0.0,49.9985359,36.27712459999999
64,پست بانک,,Post Bank of Iran,پست بانک,,Post Bank of Iran,,,POINT (50.0052493 36.26756590000001),Q7233625,0.0,50.0052493,36.26756590000001
65,بانک رفاه,,Refah Bank,بانک رفاه,,Refah Bank,,,POINT (50.0184268 36.27882300000001),Q7307083,0.0,50.0184268,36.27882300000001
